position,mlu,style,tempo,performer,division,division_follower,division_bigram,pattern,follower,bigram
1,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
2,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
3,line,COOL,UP,Art Pepper,2,2,[2|2],11,1,[11|01]
4,line,COOL,UP,Art Pepper,2,1,[2|1],1,1,[01|1]
5,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
6,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
7,line,COOL,UP,Art Pepper,1,2,[1|2],1,1,[1|01]
8,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
9,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
10,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
11,line,COOL,UP,Art Pepper,2,3,[2|3],11,11,[11|011]
12,line,COOL,UP,Art Pepper,3,4,[3|4],11,1001,[011|1001]
13,line,COOL,UP,Art Pepper,4,2,[4|2],1001,11,[1001|11]
14,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
15,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
16,line,COOL,UP,Art Pepper,2,2,[2|2],11,1,[11|01]
17,line,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
2,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
3,line,COOL,UP,Art Pepper,2,4,[2|4],11,1001,[11|1001]
4,line,COOL,UP,Art Pepper,4,4,[4|4],1001,111,[1001|0111]
5,line,COOL,UP,Art Pepper,4,2,[4|2],111,11,[0111|11]
6,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
2,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
3,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
4,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
5,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
6,line,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
7,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
8,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
9,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
10,line,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
11,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
12,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
13,line,COOL,UP,Art Pepper,1,2,[1|2],1,1,[1|01]
14,line,COOL,UP,Art Pepper,2,4,[2|4],1,1111,[01|1111]
15,line,COOL,UP,Art Pepper,4,2,[4|2],1111,11,[1111|11]
16,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,4,2,[4|2],1,1,[0001|01]
2,lick,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,lick,COOL,UP,Art Pepper,1,4,[1|4],1,1001,[1|1001]
2,lick,COOL,UP,Art Pepper,4,1,[4|1],1001,1,[1001|1]
3,lick,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,lick,COOL,UP,Art Pepper,1,4,[1|4],1,1001,[1|1001]
2,lick,COOL,UP,Art Pepper,4,2,[4|2],1001,11,[1001|11]
3,lick,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
2,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
3,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
4,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
5,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,line,COOL,UP,Art Pepper,4,2,[4|2],1,1,[0001|01]
2,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
3,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
4,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
5,line,COOL,UP,Art Pepper,2,4,[2|4],11,1001,[11|1001]
6,line,COOL,UP,Art Pepper,4,0,[4|0],1001,0,[1001|0]
1,lick,COOL,UP,Art Pepper,2,2,[2|2],1,1,[01|01]
2,lick,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
3,lick,COOL,UP,Art Pepper,2,4,[2|4],11,1,[11|0001]
4,lick,COOL,UP,Art Pepper,4,1,[4|1],1,1,[0001|1]
5,lick,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
6,lick,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,line,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
2,line,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
3,line,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
4,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
5,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
6,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
7,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
8,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
9,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
10,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,line,COOL,UP,Art Pepper,2,4,[2|4],1,1001,[01|1001]
2,line,COOL,UP,Art Pepper,4,2,[4|2],1001,11,[1001|11]
3,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
2,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
3,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
4,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
5,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
6,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
7,line,COOL,UP,Art Pepper,2,4,[2|4],11,1110,[11|1110]
8,line,COOL,UP,Art Pepper,4,2,[4|2],1110,11,[1110|11]
9,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
10,line,COOL,UP,Art Pepper,2,2,[2|2],11,1,[11|01]
11,line,COOL,UP,Art Pepper,2,1,[2|1],1,1,[01|1]
12,line,COOL,UP,Art Pepper,1,4,[1|4],1,11,[1|0011]
13,line,COOL,UP,Art Pepper,4,4,[4|4],11,1101,[0011|1101]
14,line,COOL,UP,Art Pepper,4,0,[4|0],1101,0,[1101|0]
1,line,COOL,UP,Art Pepper,4,2,[4|2],1,1,[0001|01]
2,line,COOL,UP,Art Pepper,2,2,[2|2],1,1,[01|01]
3,line,COOL,UP,Art Pepper,2,4,[2|4],1,1001,[01|1001]
4,line,COOL,UP,Art Pepper,4,2,[4|2],1001,11,[1001|11]
5,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
6,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
7,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
8,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
9,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
10,line,COOL,UP,Art Pepper,2,2,[2|2],11,1,[11|01]
11,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
12,line,COOL,UP,Art Pepper,2,2,[2|2],11,1,[11|01]
13,line,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,line,COOL,UP,Art Pepper,4,3,[4|3],11,11,[0011|011]
2,line,COOL,UP,Art Pepper,3,2,[3|2],11,1,[011|01]
3,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
4,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
5,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
6,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
7,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
8,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
9,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
10,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
11,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
12,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,2,2,[2|2],1,1,[01|01]
2,lick,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,lick,COOL,UP,Art Pepper,4,4,[4|4],1,1,[0001|0001]
2,lick,COOL,UP,Art Pepper,4,4,[4|4],1,1,[0001|0001]
3,lick,COOL,UP,Art Pepper,4,2,[4|2],1,11,[0001|11]
4,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
5,lick,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
6,lick,COOL,UP,Art Pepper,1,3,[1|3],1,111,[1|111]
7,lick,COOL,UP,Art Pepper,3,2,[3|2],111,11,[111|11]
8,lick,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,4,2,[4|2],1,1,[0001|01]
2,lick,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,lick,COOL,UP,Art Pepper,4,2,[4|2],1,1,[0001|01]
2,lick,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,lick,COOL,UP,Art Pepper,3,2,[3|2],111,11,[111|11]
2,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
3,lick,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
2,line,COOL,UP,Art Pepper,2,4,[2|4],11,1011,[11|1011]
3,line,COOL,UP,Art Pepper,4,2,[4|2],1011,11,[1011|11]
4,line,COOL,UP,Art Pepper,2,3,[2|3],11,111,[11|111]
5,line,COOL,UP,Art Pepper,3,2,[3|2],111,11,[111|11]
6,line,COOL,UP,Art Pepper,2,4,[2|4],11,1001,[11|1001]
7,line,COOL,UP,Art Pepper,4,2,[4|2],1001,1,[1001|01]
8,line,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,line,COOL,UP,Art Pepper,4,2,[4|2],1001,11,[1001|11]
2,line,COOL,UP,Art Pepper,2,4,[2|4],11,11,[11|0011]
3,line,COOL,UP,Art Pepper,4,2,[4|2],11,1,[0011|01]
4,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
5,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
6,line,COOL,UP,Art Pepper,2,2,[2|2],11,1,[11|01]
7,line,COOL,UP,Art Pepper,2,1,[2|1],1,1,[01|1]
8,line,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
9,line,COOL,UP,Art Pepper,1,4,[1|4],1,1,[1|0001]
10,line,COOL,UP,Art Pepper,4,2,[4|2],1,1,[0001|01]
11,line,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,lick,COOL,UP,Art Pepper,2,2,[2|2],1,1,[01|01]
2,lick,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,line,COOL,UP,Art Pepper,2,3,[2|3],1,11,[01|011]
2,line,COOL,UP,Art Pepper,3,3,[3|3],11,111,[011|111]
3,line,COOL,UP,Art Pepper,3,2,[3|2],111,1,[111|01]
4,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
5,line,COOL,UP,Art Pepper,2,4,[2|4],11,1101,[11|1101]
6,line,COOL,UP,Art Pepper,4,6,[4|6],1101,1001,[1101|001001]
7,line,COOL,UP,Art Pepper,6,2,[6|2],1001,1,[001001|01]
8,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
9,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
10,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
11,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
12,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
13,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
14,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
15,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
16,line,COOL,UP,Art Pepper,1,2,[1|2],1,1,[1|01]
17,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
18,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,line,COOL,UP,Art Pepper,2,4,[2|4],1,1,[01|0001]
2,line,COOL,UP,Art Pepper,4,4,[4|4],1,11,[0001|0011]
3,line,COOL,UP,Art Pepper,4,4,[4|4],11,1011,[0011|1011]
4,line,COOL,UP,Art Pepper,4,2,[4|2],1011,11,[1011|11]
5,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,2,2,[2|2],1,1,[01|01]
2,lick,COOL,UP,Art Pepper,2,1,[2|1],1,1,[01|1]
3,lick,COOL,UP,Art Pepper,1,2,[1|2],1,1,[1|01]
4,lick,COOL,UP,Art Pepper,2,4,[2|4],1,1,[01|0001]
5,lick,COOL,UP,Art Pepper,4,4,[4|4],1,1,[0001|0001]
6,lick,COOL,UP,Art Pepper,4,1,[4|1],1,1,[0001|1]
7,lick,COOL,UP,Art Pepper,1,3,[1|3],1,111,[1|111]
8,lick,COOL,UP,Art Pepper,3,2,[3|2],111,11,[111|11]
9,lick,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
2,line,COOL,UP,Art Pepper,2,4,[2|4],11,111,[11|0111]
3,line,COOL,UP,Art Pepper,4,2,[4|2],111,1,[0111|01]
4,line,COOL,UP,Art Pepper,2,3,[2|3],1,111,[01|111]
5,line,COOL,UP,Art Pepper,3,1,[3|1],111,1,[111|1]
6,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
7,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
8,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
9,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
10,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
11,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
12,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
13,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
14,line,COOL,UP,Art Pepper,2,3,[2|3],11,111,[11|111]
15,line,COOL,UP,Art Pepper,3,2,[3|2],111,11,[111|11]
16,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
17,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
18,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
19,line,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
20,line,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,line,COOL,UP,Art Pepper,4,2,[4|2],1,1,[0001|01]
2,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
3,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
4,line,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,lick,COOL,UP,Art Pepper,4,3,[4|3],1,11,[0001|011]
2,lick,COOL,UP,Art Pepper,3,2,[3|2],11,11,[011|11]
3,lick,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,2,2,[2|2],1,1,[01|01]
2,lick,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,lick,COOL,UP,Art Pepper,3,2,[3|2],11,1,[011|01]
2,lick,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,line,COOL,UP,Art Pepper,4,4,[4|4],1,1,[0001|0001]
2,line,COOL,UP,Art Pepper,4,2,[4|2],1,1,[0001|01]
3,line,COOL,UP,Art Pepper,2,2,[2|2],1,1,[01|01]
4,line,COOL,UP,Art Pepper,2,3,[2|3],1,11,[01|011]
5,line,COOL,UP,Art Pepper,3,2,[3|2],11,1,[011|01]
6,line,COOL,UP,Art Pepper,2,4,[2|4],1,1,[01|0001]
7,line,COOL,UP,Art Pepper,4,4,[4|4],1,11,[0001|0011]
8,line,COOL,UP,Art Pepper,4,2,[4|2],11,11,[0011|11]
9,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
10,line,COOL,UP,Art Pepper,2,2,[2|2],11,1,[11|01]
11,line,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,line,COOL,UP,Art Pepper,2,3,[2|3],11,11,[11|011]
2,line,COOL,UP,Art Pepper,3,2,[3|2],11,11,[011|11]
3,line,COOL,UP,Art Pepper,2,3,[2|3],11,11,[11|011]
4,line,COOL,UP,Art Pepper,3,1,[3|1],11,1,[011|1]
5,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
6,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
7,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
8,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
9,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
10,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,line,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
2,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
3,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
4,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
5,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
6,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
7,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,4,2,[4|2],1,1,[0001|01]
2,lick,COOL,UP,Art Pepper,2,2,[2|2],1,1,[01|01]
3,lick,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,lick,COOL,UP,Art Pepper,4,4,[4|4],1,1,[0001|0001]
2,lick,COOL,UP,Art Pepper,4,2,[4|2],1,1,[0001|01]
3,lick,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
4,lick,COOL,UP,Art Pepper,2,2,[2|2],11,1,[11|01]
5,lick,COOL,UP,Art Pepper,2,2,[2|2],1,1,[01|01]
6,lick,COOL,UP,Art Pepper,2,4,[2|4],1,1,[01|0001]
7,lick,COOL,UP,Art Pepper,4,3,[4|3],1,11,[0001|011]
8,lick,COOL,UP,Art Pepper,3,4,[3|4],11,1011,[011|1011]
9,lick,COOL,UP,Art Pepper,4,2,[4|2],1011,11,[1011|11]
10,lick,COOL,UP,Art Pepper,2,4,[2|4],11,1011,[11|1011]
11,lick,COOL,UP,Art Pepper,4,2,[4|2],1011,1,[1011|01]
12,lick,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,line,COOL,UP,Art Pepper,4,1,[4|1],1,1,[0001|1]
2,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
3,line,COOL,UP,Art Pepper,2,2,[2|2],11,1,[11|01]
4,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
5,line,COOL,UP,Art Pepper,2,4,[2|4],11,1011,[11|1011]
6,line,COOL,UP,Art Pepper,4,2,[4|2],1011,1,[1011|01]
7,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
8,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
9,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
2,lick,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,2,1,[2|1],1,1,[01|1]
2,lick,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,lick,COOL,UP,Art Pepper,4,2,[4|2],11,1,[0011|01]
2,lick,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,lick,COOL,UP,Art Pepper,4,6,[4|6],11,1,[0011|000001]
2,lick,COOL,UP,Art Pepper,6,2,[6|2],1,1,[000001|01]
3,lick,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
4,lick,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,4,2,[4|2],11,1,[0011|01]
2,lick,COOL,UP,Art Pepper,2,1,[2|1],1,1,[01|1]
3,lick,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,lick,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
2,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
3,lick,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
4,lick,COOL,UP,Art Pepper,1,2,[1|2],1,1,[1|01]
5,lick,COOL,UP,Art Pepper,2,4,[2|4],1,1100,[01|1100]
6,lick,COOL,UP,Art Pepper,4,4,[4|4],1100,1001,[1100|1001]
7,lick,COOL,UP,Art Pepper,4,1,[4|1],1001,1,[1001|1]
8,lick,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,lick,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
2,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
3,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
4,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
5,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
6,lick,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
7,lick,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
8,lick,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
9,lick,COOL,UP,Art Pepper,1,2,[1|2],1,1,[1|01]
10,lick,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
11,lick,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,2,2,[2|2],1,1,[01|01]
2,lick,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
3,lick,COOL,UP,Art Pepper,2,4,[2|4],11,1001,[11|1001]
4,lick,COOL,UP,Art Pepper,4,2,[4|2],1001,11,[1001|11]
5,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
6,lick,COOL,UP,Art Pepper,2,4,[2|4],11,1011,[11|1011]
7,lick,COOL,UP,Art Pepper,4,0,[4|0],1011,0,[1011|0]
1,lick,COOL,UP,Art Pepper,3,2,[3|2],11,11,[011|11]
2,lick,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
3,lick,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
4,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
5,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
6,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
7,lick,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
8,lick,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,line,COOL,UP,Art Pepper,4,3,[4|3],11,111,[0011|111]
2,line,COOL,UP,Art Pepper,3,6,[3|6],111,11100,[111|011100]
3,line,COOL,UP,Art Pepper,6,4,[6|4],11100,1011,[011100|1011]
4,line,COOL,UP,Art Pepper,4,0,[4|0],1011,0,[1011|0]
1,lick,COOL,UP,Art Pepper,5,2,[5|2],11,1,[00011|01]
2,lick,COOL,UP,Art Pepper,2,0,[2|0],1,0,[01|0]
1,lick,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
2,lick,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
3,lick,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,line,COOL,UP,Art Pepper,3,2,[3|2],11,1,[011|01]
2,line,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
3,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
4,line,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
5,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
6,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
7,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
8,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,4,1,[4|1],111,1,[0111|1]
2,lick,COOL,UP,Art Pepper,1,1,[1|1],1,1,[1|1]
3,lick,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,line,COOL,UP,Art Pepper,4,4,[4|4],1111,1111,[1111|1111]
2,line,COOL,UP,Art Pepper,4,1,[4|1],1111,1,[1111|1]
3,line,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,lick,COOL,UP,Art Pepper,2,2,[2|2],11,1,[11|01]
2,lick,COOL,UP,Art Pepper,2,4,[2|4],1,1111,[01|1111]
3,lick,COOL,UP,Art Pepper,4,4,[4|4],1111,1110,[1111|1110]
4,lick,COOL,UP,Art Pepper,4,3,[4|3],1110,111,[1110|111]
5,lick,COOL,UP,Art Pepper,3,1,[3|1],111,1,[111|1]
6,lick,COOL,UP,Art Pepper,1,0,[1|0],1,0,[1|0]
1,line,COOL,UP,Art Pepper,2,4,[2|4],11,1011,[11|1011]
2,line,COOL,UP,Art Pepper,4,3,[4|3],1011,111,[1011|111]
3,line,COOL,UP,Art Pepper,3,2,[3|2],111,11,[111|11]
4,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
5,line,COOL,UP,Art Pepper,2,4,[2|4],11,1011,[11|1011]
6,line,COOL,UP,Art Pepper,4,2,[4|2],1011,1,[1011|01]
7,line,COOL,UP,Art Pepper,2,1,[2|1],1,1,[01|1]
8,line,COOL,UP,Art Pepper,1,2,[1|2],1,11,[1|11]
9,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
10,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
11,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
12,line,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
13,line,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,4,2,[4|2],1001,11,[1001|11]
2,lick,COOL,UP,Art Pepper,2,0,[2|0],11,0,[11|0]
1,lick,COOL,UP,Art Pepper,4,4,[4|4],1001,1,[1001|0001]
2,lick,COOL,UP,Art Pepper,4,2,[4|2],1,11,[0001|11]
3,lick,COOL,UP,Art Pepper,2,2,[2|2],11,1,[11|01]
4,lick,COOL,UP,Art Pepper,2,2,[2|2],1,11,[01|11]
5,lick,COOL,UP,Art Pepper,2,2,[2|2],11,11,[11|11]
6,lick,COOL,UP,Art Pepper,2,4,[2|4],11,1001,[11|1001]
7,lick,COOL,UP,Art Pepper,4,2,[4|2],1001,11,[1001|11]
8,lick,COOL,UP,Art Pepper,2,1,[2|1],11,1,[11|1]
